portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,360,Tx Bytes,15420000
default,1,4,360,TxOffered,205.600000
default,1,4,360,Rx Bytes,14997492
default,1,4,360,Throughput,199.966560
default,1,4,360,Mean delay,39.672907
default,1,4,360,Mean jitter,0.078983
default,1,4,360,Rx Packets,14589
default,1,4,380,Tx Packets,15000
default,1,4,380,Tx Bytes,15420000
default,1,4,380,TxOffered,205.600000
default,1,4,380,Rx Bytes,14884412
default,1,4,380,Throughput,198.458827
default,1,4,380,Mean delay,18.124201
default,1,4,380,Mean jitter,0.078671
default,1,4,380,Rx Packets,14479
default,1,4,400,Tx Packets,15000
default,1,4,400,Tx Bytes,15420000
default,1,4,400,TxOffered,205.600000
default,1,4,400,Rx Bytes,14865908
default,1,4,400,Throughput,198.212107
default,1,4,400,Mean delay,26.911584
default,1,4,400,Mean jitter,0.078885
default,1,4,400,Rx Packets,14461
default,1,4,420,Tx Packets,15000
default,1,4,420,Tx Bytes,15420000
default,1,4,420,TxOffered,205.600000
default,1,4,420,Rx Bytes,14896748
default,1,4,420,Throughput,198.623307
default,1,4,420,Mean delay,26.711321
default,1,4,420,Mean jitter,0.078841
default,1,4,420,Rx Packets,14491
default,1,4,440,Tx Packets,15000
default,1,4,440,Tx Bytes,15420000
default,1,4,440,TxOffered,205.600000
default,1,4,440,Rx Bytes,14895720
default,1,4,440,Throughput,198.609600
default,1,4,440,Mean delay,47.954757
default,1,4,440,Mean jitter,0.079075
default,1,4,440,Rx Packets,14490
default,1,4,460,Tx Packets,15000
default,1,4,460,Tx Bytes,15420000
default,1,4,460,TxOffered,205.600000
default,1,4,460,Rx Bytes,14823760
default,1,4,460,Throughput,197.650133
default,1,4,460,Mean delay,48.254532
default,1,4,460,Mean jitter,0.079251
default,1,4,460,Rx Packets,14420
default,1,4,480,Tx Packets,15000
default,1,4,480,Tx Bytes,15420000
default,1,4,480,TxOffered,205.600000
default,1,4,480,Rx Bytes,14491716
default,1,4,480,Throughput,193.222880
default,1,4,480,Mean delay,27.551491
default,1,4,480,Mean jitter,0.079078
default,1,4,480,Rx Packets,14097
default,1,4,500,Tx Packets,15000
default,1,4,500,Tx Bytes,15420000
default,1,4,500,TxOffered,205.600000
default,1,4,500,Rx Bytes,13442128
default,1,4,500,Throughput,179.228373
default,1,4,500,Mean delay,20.187003
default,1,4,500,Mean jitter,0.079807
default,1,4,500,Rx Packets,13076
default,1,4,520,Tx Packets,15000
