portPowerLabel,enableMimoFeedback,rankLimit,gnbUeDistance,Metric,Value
default,1,4,0,Tx Packets,15000
default,1,4,0,Tx Bytes,15420000
default,1,4,0,TxOffered,205.600000
default,1,4,0,Rx Bytes,7695608
default,1,4,0,Throughput,102.608107
default,1,4,0,Mean delay,147.712292
default,1,4,0,Mean jitter,0.104360
default,1,4,0,Rx Packets,7486
default,1,4,20,Tx Packets,15000
default,1,4,20,Tx Bytes,15420000
default,1,4,20,TxOffered,205.600000
default,1,4,20,Rx Bytes,15244212
default,1,4,20,Throughput,203.256160
default,1,4,20,Mean delay,7.939961
default,1,4,20,Mean jitter,0.076798
default,1,4,20,Rx Packets,14829
default,1,4,40,Tx Packets,15000
default,1,4,40,Tx Bytes,15420000
default,1,4,40,TxOffered,205.600000
default,1,4,40,Rx Bytes,14928616
default,1,4,40,Throughput,199.048213
default,1,4,40,Mean delay,17.314841
default,1,4,40,Mean jitter,0.077604
default,1,4,40,Rx Packets,14522
default,1,4,60,Tx Packets,15000
default,1,4,60,Tx Bytes,15420000
default,1,4,60,TxOffered,205.600000
default,1,4,60,Rx Bytes,14156588
default,1,4,60,Throughput,188.754507
default,1,4,60,Mean delay,35.583416
default,1,4,60,Mean jitter,0.079683
default,1,4,60,Rx Packets,13771
default,1,4,80,Tx Packets,15000
default,1,4,80,Tx Bytes,15420000
default,1,4,80,TxOffered,205.600000
default,1,4,80,Rx Bytes,14221352
default,1,4,80,Throughput,189.618027
default,1,4,80,Mean delay,22.230058
default,1,4,80,Mean jitter,0.079532
default,1,4,80,Rx Packets,13834
default,1,4,100,Tx Packets,15000
default,1,4,100,Tx Bytes,15420000
default,1,4,100,TxOffered,205.600000
default,1,4,100,Rx Bytes,13840992
default,1,4,100,Throughput,184.546560
default,1,4,100,Mean delay,35.039672
default,1,4,100,Mean jitter,0.080677
default,1,4,100,Rx Packets,13464
default,1,4,120,Tx Packets,15000
default,1,4,120,Tx Bytes,15420000
default,1,4,120,TxOffered,205.600000
default,1,4,120,Rx Bytes,13901644
default,1,4,120,Throughput,185.355253
default,1,4,120,Mean delay,21.545361
default,1,4,120,Mean jitter,0.080500
default,1,4,120,Rx Packets,13523
default,1,4,140,Tx Packets,15000
default,1,4,140,Tx Bytes,15420000
default,1,4,140,TxOffered,205.600000
default,1,4,140,Rx Bytes,14229576
default,1,4,140,Throughput,189.727680
default,1,4,140,Mean delay,20.250067
default,1,4,140,Mean jitter,0.079595
default,1,4,140,Rx Packets,13842
default,1,4,160,Tx Packets,15000
default,1,4,160,Tx Bytes,15420000
default,1,4,160,TxOffered,205.600000
default,1,4,160,Rx Bytes,14659280
default,1,4,160,Throughput,195.457067
default,1,4,160,Mean delay,21.893659
default,1,4,160,Mean jitter,0.078642
default,1,4,160,Rx Packets,14260
default,1,4,180,Tx Packets,15000
default,1,4,180,Tx Bytes,15420000
default,1,4,180,TxOffered,205.600000
default,1,4,180,Rx Bytes,14525640
default,1,4,180,Throughput,193.675200
default,1,4,180,Mean delay,24.082179
default,1,4,180,Mean jitter,0.079071
default,1,4,180,Rx Packets,14130
default,1,4,200,Tx Packets,15000
default,1,4,200,Tx Bytes,15420000
default,1,4,200,TxOffered,205.600000
default,1,4,200,Rx Bytes,13219052
default,1,4,200,Throughput,176.254027
default,1,4,200,Mean delay,52.049298
default,1,4,200,Mean jitter,0.083011
default,1,4,200,Rx Packets,12859
default,1,4,220,Tx Packets,15000
default,1,4,220,Tx Bytes,15420000
default,1,4,220,TxOffered,205.600000
default,1,4,220,Rx Bytes,12680380
default,1,4,220,Throughput,169.071733
default,1,4,220,Mean delay,64.657851
default,1,4,220,Mean jitter,0.085026
default,1,4,220,Rx Packets,12335
default,1,4,240,Tx Packets,15000
default,1,4,240,Tx Bytes,15420000
default,1,4,240,TxOffered,205.600000
default,1,4,240,Rx Bytes,12209556
default,1,4,240,Throughput,162.794080
default,1,4,240,Mean delay,75.373837
default,1,4,240,Mean jitter,0.086870
default,1,4,240,Rx Packets,11877
default,1,4,260,Tx Packets,15000
default,1,4,260,Tx Bytes,15420000
default,1,4,260,TxOffered,205.600000
default,1,4,260,Rx Bytes,12164324
default,1,4,260,Throughput,162.190987
default,1,4,260,Mean delay,72.311249
default,1,4,260,Mean jitter,0.087214
default,1,4,260,Rx Packets,11833
default,1,4,280,Tx Packets,15000
default,1,4,280,Tx Bytes,15420000
default,1,4,280,TxOffered,205.600000
default,1,4,280,Rx Bytes,12984668
default,1,4,280,Throughput,173.128907
default,1,4,280,Mean delay,102.075875
default,1,4,280,Mean jitter,0.085342
default,1,4,280,Rx Packets,12631
default,1,4,300,Tx Packets,15000
default,1,4,300,Tx Bytes,15420000
default,1,4,300,TxOffered,205.600000
default,1,4,300,Rx Bytes,13044292
default,1,4,300,Throughput,173.923893
default,1,4,300,Mean delay,92.437821
default,1,4,300,Mean jitter,0.084694
default,1,4,300,Rx Packets,12689
default,1,4,320,Tx Packets,15000
default,1,4,320,Tx Bytes,15420000
default,1,4,320,TxOffered,205.600000
default,1,4,320,Rx Bytes,12897288
default,1,4,320,Throughput,171.963840
default,1,4,320,Mean delay,92.774563
default,1,4,320,Mean jitter,0.084929
default,1,4,320,Rx Packets,12546
default,1,4,340,Tx Packets,15000
default,1,4,340,Tx Bytes,15420000
default,1,4,340,TxOffered,205.600000
default,1,4,340,Rx Bytes,12742060
default,1,4,340,Throughput,169.894133
default,1,4,340,Mean delay,95.474626
default,1,4,340,Mean jitter,0.085134
default,1,4,340,Rx Packets,12395
default,1,4,360,Tx Packets,15000
default,1,4,360,Tx Bytes,15420000
default,1,4,360,TxOffered,205.600000
default,1,4,360,Rx Bytes,12654680
default,1,4,360,Throughput,168.729067
default,1,4,360,Mean delay,96.538155
default,1,4,360,Mean jitter,0.085498
default,1,4,360,Rx Packets,12310
default,1,4,380,Tx Packets,15000
default,1,4,380,Tx Bytes,15420000
